,Y,X
1855,183,175
1856,183,174
1857,182,177
1858,182,176
1859,182,175
1860,182,174
1861,181,177
1862,181,176
1863,181,175
1864,181,174
1865,180,177
1866,180,176
1867,180,175
1868,180,174
1869,179,177
1870,179,176
1871,179,175
1872,179,174
1873,178,177
1874,178,176
1875,178,175
1876,178,174
1877,177,177
1878,177,176
1879,177,175
1880,177,174
1881,176,177
1882,176,176
1883,176,175
1884,176,174
1885,175,177
1886,175,176
1887,175,175
1888,175,174
1889,174,177
1890,174,176
1891,174,175
1892,174,174
1893,173,177
1894,173,176
1895,173,175
1896,173,174
1897,172,177
1898,172,176
1899,172,175
1900,172,174
1901,171,177
1902,171,176
1903,171,175
1904,171,174
1905,170,177
1906,170,176
1907,170,175
1908,170,174
1909,169,177
1910,169,176
1911,169,175
1912,169,174
1913,168,177
1914,168,176
1915,168,175
1916,168,174
1917,167,177
1918,167,176
1919,167,175
1920,167,174
1921,166,177
1922,166,176
1923,166,175
1924,166,174
1925,165,177
1926,165,176
1927,165,175
1928,165,174
1929,164,177
1930,164,176
1931,164,175
1932,164,174
1933,163,177
1934,163,176
1935,163,175
1936,163,174
1937,162,177
1938,162,176
1939,162,175
1940,162,174
1941,161,177
1942,161,176
1943,161,175
1944,161,174
1945,160,177
1946,160,176
1947,160,175
1948,160,174
1949,159,177
1950,159,176
1951,159,175
1952,159,174
1953,158,177
1954,158,176
1955,158,175
1956,158,174
1957,157,177
1958,157,176
1959,157,175
1960,157,174
1961,156,177
1962,156,176
1963,156,175
1964,156,174
1965,155,177
1966,155,176
1967,155,175
1968,155,174
1969,154,177
1970,154,176
1971,154,175
1972,154,174
1973,153,177
1974,153,176
1975,153,175
1976,153,174
1977,152,177
1978,152,176
1979,152,175
1980,152,174
1981,151,177
1982,151,176
1983,151,175
1984,151,174
1985,150,177
1986,150,176
1987,150,175
1988,150,174
1989,149,177
1990,149,176
1991,149,175
1992,149,174
1993,148,177
1994,148,176
1995,148,175
1996,148,174
